Timestamp,word,造句（请给出一则造句）,备注：,创建时间,词性,出处,Link:,创建用户,解释+出处：,短释义,视频或图片补充
5/31/2021 23:05:28,舔狗,小词不敢相信为什么会有那么多人喜欢小黄，他决定探索下这舔狗努力背后存在的毅力与恒心。,,5/4/2016,"直播, 体育, 饭圈",出自于2016年百度贴吧，网友对疯狂热脸贴冷屁股的人的称呼，后来演变成一种常用的吐槽语被大家所熟知与使用。,https://baike.baidu.com/item/%E8%88%94%E7%8B%97/22893799,fahygao,形容具体的一类人：对方对自己没有好感的情况下，还一如即往地放下尊严地用热脸去贴冷屁股的人。,,
6/1/2021 16:26:46,火钳刘明,从前喜欢贴吧的小词天天在觉得好笑的帖子下面评论：“此贴必火，火钳刘明。”,,8/6/2013,"生活, 游戏, 直播",出自百度贴吧，网友发帖时，由于输入法的缘故，在输入“火前”的时候出现的是“火钳”，所以为了方便，“火前留名”也就变成了“火钳刘明”。 ,"https://baike.baidu.com/item/%E7%81%AB%E9%92%B3%E5%88%98%E6%98%8E#:~:text=%E7%81%AB%E9%92%B3%E5%88%98%E6%98%8E%E6%98%AF%E4%B8%80%E4%B8%AA,%E5%B8%96%E6%B7%B7%E4%B8%AA%E8%84%B8%E7%86%9F%E3%80%82",fahygao,“火前留名”的的谐音。指在帖子火之前留下自己的名字。,,
6/1/2021 16:33:54,不明觉厉,小词面对远渡重洋回来的小高，在对方说英文自我介绍后非常敬佩地表示：“这小伙的法语真的不明觉厉。”,,5/4/1996,"生活, 游戏, 直播, 二次元, 体育, 数码",出自1997年电影《食神》中的角色对白，史蒂芬周（周星驰）向其他人讲解讲解撒尿牛丸从开分店到上市，鹅头（李兆基）说：“虽然不明白他在说什么，但听了觉得很有意思。” 后来因为字面的直观性，被网友广泛使用。,"https://baike.baidu.com/item/%E8%99%BD%E4%B8%8D%E6%98%8E%EF%BC%8C%E4%BD%86%E8%A7%89%E5%8E%89/5455579#:~:text=%E2%80%9C%E8%99%BD%E4%B8%8D%E6%98%8E%EF%BC%8C%E4%BD%86%E8%A7%89%E5%8E%89,%E7%BD%91%E7%BB%9C%E5%8F%91%E8%A8%80%E8%80%85%E5%B9%BF%E6%B3%9B%E4%BD%BF%E7%94%A8%E3%80%82",fahygao,又名“虽不明，但觉厉”。意为虽然不明白，但是感觉很厉害。表示对高手的崇拜或吐槽对方过于深奥。,,
6/1/2021 16:42:34,我就笑笑不说话,小词对于小黄的行为非常不满，表示：“你拿了个进步奖就到处炫耀，我就笑笑不说话。”,（最好有一个合适的表情包配合）,2/13/2014,"生活, 游戏, 直播, 体育, 饭圈",出自于社交软件的评论区，因为在各大社交网络该用语或相匹配表情包过于普遍，所以没有明确的出处。不过，其使用频率在社交软件qq空间内尤其居多。,https://hinative.com/zh-CN/questions/4981372,fahygao,意为无语或不同意观点但也不屑争执的态度，具有一定嘲讽的意味。,,
6/1/2021 20:14:25,PUA,他这么讨人喜欢有可能是个PUA,,5/1/2004,生活,出自于美国上世纪70年代的搭讪文化，全称“Pick-up Artist”，原意是指“搭讪艺术家”；后来传入国内，从最早的学科向定位发展成现在的生活吐槽常识。 ,https://baike.baidu.com/item/PUA/5999185?fr=aladdin,eriche,“Pick-Up-Artist”的首字母缩写。形容一些男生用演练好的社交技巧和自我包装吸引女性，使女性快速与自己产生情感联系乃至发生关系的人。,,
6/1/2021 20:20:59,人艰不拆,"甲：“看，女神在看我呢”
乙：“去，女神在看你后面的广告呢，就你屌丝样”
甲：“人艰不拆啊！”",,7/9/2013,"生活, 学习, 直播，饭圈",出自林宥嘉演唱的歌曲《说谎》，具体歌词为“别说我说谎，人生已经如此的艰难，有些事情就不要拆穿”。后来在被暴走大事件与诸多网友引用后，引申成为“人艰不拆”。，意思是“楼主直接说出了一个事情的真相，只是让人一时无法直接面对”。,https://baike.baidu.com/item/%E4%BA%BA%E8%89%B0%E4%B8%8D%E6%8B%86/4764952,eriche,直译为“人生已经如此的艰难，有些事情就不要拆穿”，多用来自嘲或形容他人悲催的遭遇。,,
6/1/2021 20:23:49,注孤生,屌丝注孤生。,,1/1/2012,生活,出自哥伦比亚作家加西亚·马尔克斯创作的《百年孤独》，后被引用到暴走漫画的“Forever alone”表情上，引得网友疯传。,https://baike.baidu.com/item/%E6%B3%A8%E5%AE%9A%E5%AD%A4%E7%8B%AC%E4%B8%80%E7%94%9F/4860564?fromtitle=%E6%B3%A8%E5%AD%A4%E7%94%9F&fromid=12426142,eriche,形容某人一辈子没有伴侣只能一个人生活，多用于调侃。,,
6/1/2021 20:26:21,无图言屌,通常是网友发现一篇帖子，帖子大篇幅讲述相关种种，却没有当事人或物品的照片，网友便跟帖说“无图言屌”,,3/4/2010,"生活, 游戏",出自于“无图无真相”的梗词。相关派生语包括“有图有真相”、“有图有JB”、“我裤子都脱了，你就给我看这个？”等。另有中式英语版本；“You say a JB without a picture!”和“You say a d*ck with no picture!”,https://baike.baidu.com/item/%E6%97%A0%E5%9B%BE%E8%A8%80%E5%B1%8C,eriche,该词是“没图你说个XX”和“没图你说个锤子”的缩略形式，一般用作于百度贴吧或者论坛。,,
6/1/2021 20:29:23,然并卵,反手摸肚脐其实是一个然并卵的游戏啊!,,1/10/2015,"生活, 游戏",出自斗鱼游戏主播Mr.Quin解说游戏黑暗之魂2时的一句，被B站UP主王老菊的游戏解说所引用而发扬光大，后被暴走大事件的《质检leader张全蛋怒揭电视机行业内幕》让该短句迅速走红,https://baike.baidu.com/item/%E6%97%A0%E5%9B%BE%E8%A8%80%E5%B1%8C,eriche,该词是“然而并没有什么卵用”的缩略版本。表达的意思如同字面意思，指一些事物看上去很复杂很高端，但却没有实质性的效果，或者得不到理想的收益；多用来表达无奈、调侃之情。,,
6/1/2021 20:31:56,城会玩,看看网上国外的那些恶搞的视频，真是城会玩。,,4/1/2015,生活,出自于第68届戛纳电影节开幕时，张馨予走红地毯时的着装如同花纹繁多的棉被而被网友讽刺。,https://baike.baidu.com/item/%E4%BD%A0%E4%BB%AC%E5%9F%8E%E9%87%8C%E4%BA%BA%E7%9C%9F%E4%BC%9A%E7%8E%A9?fromtitle=%E5%9F%8E%E4%BC%9A%E7%8E%A9&fromid=17891100,eriche,“城里人真会玩”的简写，讽刺某些人做事无法理解。,,
6/1/2021 20:34:24,兰州烧饼,兰州烧饼 （ 楼主SB)，这是什么破贴。,,8/1/2015,生活,出自百度贴吧上的评论，一位网名叫“毒死狗熊”的百度吧友在WOW（魔兽世界）贴吧发帖子问“LZSB”是什么意思，另一位百度吧友回复了四个字“兰州烧饼”，因为在输入法中按“LZSB”会打出兰州烧饼，所以成此故事。,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E5%A4%A7%E9%99%86%E7%BD%91%E7%BB%9C%E7%94%A8%E8%AF%AD%E5%88%97%E8%A1%A8,eriche,“楼主sb”的首字母缩写变形后词语，表示不赞同发贴人的观点，或对发贴人的人品表示不满，具有讽刺意义和对于楼主智商的鄙视，有辱骂不文明倾向。,,
6/1/2021 20:37:57,520,今年520准备给女朋友送什么礼物？,,5/10/1998,"生活, 国风",出自歌手范晓萱的《数字恋爱》，歌词中写到“520是我爱你000是要 kissing”，随后多位音乐家在生活中不断扩散“520”的含义，也逐渐被大众接受引申成网络情人节；以温馨、浪漫、时尚的形象特点为人所知。,https://baike.baidu.com/item/%E7%BD%91%E7%BB%9C%E6%83%85%E4%BA%BA%E8%8A%82/10111860?fromtitle=520&fromid=8917288,eriche,“我爱你”的谐音，与“我爱你”同yi。,,
6/1/2021 20:41:35,河蟹,这小说里不少内容被河蟹了。,,5/1/2008,生活,出自明朝时期用以讽刺严嵩的民歌《京师人为严嵩语》“但将冷眼观螃蟹，看尔横行到几时”，文中“螃蟹”也被改为“河蟹”，就成了“但将冷眼观河蟹，看尔横行到几时”，后于网络上流行。,https://baike.baidu.com/item/%E6%B2%B3%E8%9F%B9/10292878#viewPageContent,eriche,“和谐”的谐音词。目前不少网站都有关键词屏蔽的功能，比如说脏话、涉及政治、国家领导人等等，这些也常常被网友称作河蟹了。,,
6/1/2021 20:49:58,喜大普奔,他在得知被录取的消息后，可以好好喜大普奔了。,,10/1/2014,生活,出自于社交软件，因为遍布网络，所以具体出处未知。,,eriche,是“喜闻乐见、大快人心、普天同庆、奔走相告”的缩略形式，表示一件让大家欢乐的事情；大家要分享出去，相互告知，共同庆祝。,,
6/1/2021 23:28:27,GG,这次考试肯定GG了。,,7/1/2016,"生活, 游戏",出自于韩国星际比赛，指在竞技游戏（如魔兽争霸、星际争霸、反恐精英、DOTA2等 ）中，纯粹就是习惯性的向对手表示欣赏,https://baike.baidu.com/item/GG/2256001?fr=aladdin,eriche,竞技游戏礼貌用语，“Good Game”的缩写。类似于比武结束后的行礼，意思是“打得好，我认输”。后来也常用于现实生活中表示“失败”的场景。,,
6/1/2021 23:48:14,何弃疗,你这游戏水平，何弃疗。,,7/18/2013,生活，游戏,出自杨永信使用电疗治理“网瘾患者”的对话，,https://baike.baidu.com/item/%E4%B8%BA%E4%BB%80%E4%B9%88%E6%94%BE%E5%BC%83%E6%B2%BB%E7%96%97/8566070?fromtitle=%E4%BD%95%E5%BC%83%E7%96%97&fromid=7745363,eriche,“为何放弃治疗”的缩写。一种调侃的方式，暗指对方奇葩、无法理喻。,,
6/2/2021 1:01:20,dpq,dbq，这饭圈黑话我是真的学不明白。,,4/27/2018,"生活, 游戏, 二次元, 饭圈",出自于饭圈文化，饭圈网民在讨论明星八卦的时候通常为了避免撕逼会采用该明星的名字缩写，从而养成习惯来改写如“对不起”类似的生活用户。,https://zhidao.baidu.com/question/431378777224115844.html,fahygao,“对不起”的拼音首字母缩写，与“对不起”同义。,,
6/2/2021 1:24:41,y1s1,y1s1，这打蛋机买的真的不行。,,7/1/2019,"生活, 游戏, 直播",出自电竞圈的英雄联盟主播“Last炫神”，“有一说一”是他经典的口头禅，粉丝和观众在弹幕中进行刷屏模仿，随后引申成“y1s1”或“u1s1”，并快速出圈被更多的网友所熟知。,http://baijiahao.baidu.com/s?id=1643034416106188988,fahygao,“有一说一”的谐音加首字母缩写，又名“u1s1”。多用于句首，结合语句；增强表达对某件事物的否定或嘲讽。,,
6/2/2021 1:31:56,下饭,你这个操作太下饭了，我已经吃了三碗米饭了。,（可以配上游戏下饭操作视频等）,7/22/2019,"生活, 学习, 游戏, 直播, 旧词新义",出自电竞圈Dota2的主播屠夫阿川，观众和粉丝对他低级失误给予“料得一手川菜”的评价，随后引申成如今的“下饭”，普遍出没于其他电竞游戏，如英雄联盟、CSGO等。,https://baike.baidu.com/item/%E4%B8%8B%E9%A5%AD/24255111,fahygao,直译“太菜了”。多用于调侃某人游戏中操作失误的委婉说辞；本意指非常可口的菜。,,
6/2/2021 1:41:56,割韭菜,这大公司割韭菜时真的从来不费力，赚了盈满盆满。,,9/26/2018,"生活, 金融、旧词新义",出自于金融圈，其中股民”买股票，买了套，套了割，割了买“的反复现象与“割韭菜”的实际情况非常贴切。韭菜具有反复收割的特性，其被反复压榨的过程也被形象的描述为割韭菜。,https://baike.baidu.com/item/%E5%89%B2%E9%9F%AD%E8%8F%9C/9938509?fromtitle=%E9%9F%AD%E8%8F%9C%E8%A1%8C%E6%83%85&fromid=18861122,fahygao,形容资本反复压榨股民，类似于割韭菜行为的金融现象。,,
6/2/2021 1:47:38,韭菜,说白了，哪个股民不是先从韭菜开始的？,,9/26/2018,"生活, 旧词新义",出自金融圈的股市，普遍股票散民都具有与韭菜类似的特征：买股票，买了套，套了割，割了买，反反复复，损失惨重；然而，在韭菜生长盛期，也是可以进行反复压榨割取的。后来也被引入电竞圈，形容被游戏压榨的老玩家。,https://www.zhihu.com/question/296102749,fahygao,一般指被反复压榨或欺骗但仍执迷不悟，不明真相的人。,,
6/2/2021 1:54:05,韭零后,我这股票刚买就套牢了，属实韭零后行为。,,8/28/2018,"生活, 金融",出自于金融圈的基金股票市场，对于“割韭菜”一股民特征与90后的引申组合。现在普遍指待当代的年轻人，缺乏务实心理与投机取巧的心态经常聪明反被聪明误。,https://baike.baidu.com/item/%E9%9F%AD%E9%9B%B6%E5%90%8E/56230242?fr=aladdin,fahygao,“90后”的谐音，指1990年后出生的，购买股票基金后大跌的人；现多用来自嘲。,,
6/2/2021 2:02:50,太会了,这么漂亮的美女都被你追到了，你也太会了吧。,,5/1/2020,"生活, 游戏, 直播, 饭圈",出自台湾方言，台语喜欢以“太。。。了”进行造句，例如：“太猛了”、“太逊了”、“太扯了”等，以此引申出“太会了”的用法。,https://jikipedia.com/definition/673621191,fahygao,指夸赞或反讽某人太擅长某种事物了，多用于形容男生很会把妹或女生很会追男生的情况。,,
6/2/2021 14:06:30,把妹,渣男一般都挺会把妹的。,,12/11/2012,"生活, 游戏, 直播",出自于美国文化，来源于英语单词“Pickup Artist”；最初对该词翻译为把妹高手 。后来随着“把妹”技巧被大众所熟知，逐渐演成了“撩妹”、“PUA”等梗词。,https://www.zhihu.com/question/20545822,fahygao,指通过搭讪，取得女生联系方式，从而进一步往恋爱方向进展。同义“撩妹”，“泡妞”。,,
6/2/2021 20:57:14,肾么事,发生肾么事了？,（最好有马保国说这句话的视频）,5/20/2020,直播,出自于“浑元形意太极门掌门人”马保国的一段自白，在视频中马先生吐槽自己收到无名小辈攻击，但因其带有方言的口音和奇葩的形象令人印象深刻；该视频段时间内被全网疯转，其中“肾么事”等诸多新梗词便来自于此视频。,https://zh.wikipedia.org/wiki/%E9%A9%AC%E4%BF%9D%E5%9B%BD,fahygao,“什么事”的谐音。,,
6/2/2021 21:07:24,我大E了啊，没有闪,我大E了啊，没有闪，谁知道那两位年轻人没有武德。,（最好有说这句话的原视频）,5/20/2020,"生活, 游戏, 直播",出自“混元功法太极门”传承人马保国的一段视频，其中讲述了他受两个年轻人挑战的事情，但因他大意没有闪，所以才被打肿右眼。由于他本人的方言口音奇特以及奇葩的个人形象，视频短时间内红遍网络，其中“肾么事”、“年轻人不讲武德”与“耗子尾汁”等均成为网友新梗。,https://www.zhihu.com/question/428910415/answer/1585672657,fahygao,“我大意了啊，没有闪”的谐音，在此结合了英雄联盟的操作知识，充满调侃韵味。,,
6/2/2021 21:13:49,耗子尾汁,年轻人耗子尾汁啊,,5/20/2020,"生活, 游戏, 直播",出自马保国的一段视频，其中讲述了他受两个年轻人挑战的事情，他在视频中劝年轻人“耗子尾汁”（好自为之），不要轻易挑衅他。由于他本人的方言口音奇特以及奇葩的个人形象，视频短时间内红遍网络，其中“肾么事”、“我大E了，没有闪”等均成为新梗。,https://www.zhihu.com/question/428910415/answer/1585672657,fahygao,“好自为之”的谐音，在原意基础上多增加了调侃的韵味。,,
6/2/2021 23:31:09,阿西吧,阿西吧！我怎么这次考试又考砸了？,,12/1/2013,"生活, 学习, 游戏, 直播, 饭圈",出自韩语词 “아! 씨발!”，这个词的中文形式是靠一波波热播的韩剧火起来的。,https://baike.baidu.com/item/%E9%98%BF%E8%A5%BF%E5%90%A7,ellalala,在中文网络情境下是一种语气感叹词，意思类似于我去，对某一事件或事物感到惊奇、震惊、愤怒等等时说出的话语，属于发泄情感的词语（但在韩语语境中是极不礼貌且粗俗的词汇，请慎用）。,,https://drive.google.com/open?id=1fW2zM933ayiyoXNdMb1PvHnk8k5BVFHC
6/2/2021 23:57:29,看起来那么普通，却那么自信,“你永远猜不透男人的小脑瓜里到底在想一些什么，就是他明明为什么看起来这么普通，但是他却可以那么自信？” ,,8/19/2020,"生活, 饭圈, 脱口秀/综艺节目",出自脱口秀演员杨笠在《脱口秀大会》上吐槽男性的一个段子，原句是：“他明明为什么看起来这么普通，但是他却可以那么自信？”,https://jikipedia.com/definition/673744647#&gid=1&pid=1,ellalala,用来讽刺一些明明很普通却觉得自己非常与众不同的人,,https://www.youtube.com/watch?v=2RDo3yPSZMc
6/3/2021 0:03:41,夺笋哪,疫情都这么严重了还上别人家串门，夺笋啊这人夺笋啊。,,2/7/2020,"直播, 饭圈",出自网络主播 “迷人的郭老师”和她众所周知的迷惑口音， 把多损啊说成了夺笋啊。,https://baike.baidu.com/item/%E5%A4%BA%E7%AC%8B%E5%95%8A/24506998,ellalala,意思是 “多损啊”,,https://www.bilibili.com/video/BV1JE411H7tp/
6/3/2021 0:22:57,妈见打,你这挑食的行为太妈见打了！,,7/11/1905,生活,出自于网友制作的视频或表情包，具体出处不详。,https://www.bilibili.com/read/cv3330877/,ellalala,“妈妈看见了想打人“ 的缩写，形容一个人极其欠揍的行为‌。​‌​‌‌‌​​​‌​​‌,,https://www.bilibili.com/video/av88291317
6/3/2021 0:38:56,冰清玉洁,做人不要太冰清玉洁。,,3/21/2020,饭圈,出自青春有你2中的四胞胎申冰，申清，申玉，申洁四姐妹‌‌，她们因争夺c位时，口上说自己没有偏心，但却又满怀心机的组团互相投票给自己的姐妹，而收到众多网友吐槽。,https://jikipedia.com/definition/607121882,ellalala,用来讽刺一些有心机但表现无辜的人,,https://www.youtube.com/watch?v=zTCPP330Txs
6/3/2021 0:50:22,一起爬山吗,甲：周末一起爬山吗？乙：不不不，不去了。,,6/16/2020,"饭圈, 电视剧",出自电视剧《隐秘的角落》，秦昊在剧中饰演的少年宫代课数学老师张东升，在带岳父母去爬山时，将岳父母推下了山。,https://baike.baidu.com/item/%E4%B8%80%E8%B5%B7%E7%88%AC%E5%B1%B1%E5%90%97/50851564,ellalala,有“把你杀了”的意思，指爬到山顶就把你推下去的死亡邀约。,,https://www.youtube.com/watch?v=tLaAYWDrvMw
6/3/2021 12:32:14,接盘侠,老实人如何避免做接盘侠？,,1/1/2012,"生活, 股市",出自股市交易，意为买进庄家出货的股票。后被引申用于形容大公无私，不计前嫌，愿意牺牲自我，换他人幸福的人 ，,https://baike.baidu.com/item/%E6%8E%A5%E7%9B%98%E4%BE%A0/4314254,eriche,直意为在不知情的情况下被迫接受某种事物（如孩子、股票等）的一类人；也会用于形容男生面对女生放荡不羁的行为后，无奈接受后果，承担责任的人（本词具有性别主义暗示，请慎用）。,,
6/3/2021 19:17:29,三句话让男人为我花了18万,“三句话让男人为我花了18万” 是真的操蛋。,（最好有原视频）,5/20/2021,"生活, 直播",出自抖音以“三句话让男人为我花18万”为主题的短视频，先后多位乔装打扮的“女讲师”讲述自己如何让男人对她们欣赏、动心、掏钱甚至神魂颠倒的场景，但内容文案几乎一模一样。在抖音上受众多网友吐槽与调侃，该标题便随之火了起来。,https://finance.sina.com.cn/tech/2021-05-21/doc-ikmxzfmm3684375.shtml,fahygao,用来调侃华而不实、不尊重自己、爱占小便宜的部分女性（具有性别主义暗示，请慎用）。,,
6/3/2021 19:30:49,狗血,花了一下午看完一部烂尾的三流动漫的小词大喊：“这剧情太狗血了吧！”,,4/1/2019,"生活, 电视剧, 直播, 旧词新义","出自梨园行，就是讲戏曲演员脱离情节而卖弄滑稽、武艺、或作其他过火的表演。中国典故《霸王别姬》中程蝶衣对段小楼说道：""没学过戏，那就别在这儿洒狗血了""。目前“狗血”被网友主要引用于电视剧评论。",https://baike.baidu.com/item/%E7%8B%97%E8%A1%80/5555278,fahygao,指胡扯，夸张，不可思议的意思；多用来形容不切实际、浮夸的剧情的内容；切记目前用法与狗的血没有任何关系。,,
6/4/2021 0:53:05,躺着也中枪,坐这么后排都能被老师叫到，真是躺着也中枪。,,1/1/2019,"生活, 电影",出自周星驰的电影《逃学威龙》里的一句台词。当时双方激烈打斗中，一人装死，然后小兵手一歪向地上发了一枪正中装死的“某人”。于是有经典台词：“ 我靠！ 躺着都中枪！”。,https://baike.baidu.com/item/%E8%BA%BA%E7%9D%80%E4%B9%9F%E4%B8%AD%E6%9E%AA/3802046,eriche,意指自己什么也没做，没招惹别人却被别人言语攻击给击中、给打击了；也指莫名其妙就被别人攻击，无缘无故受炮轰的情况。,,
6/4/2021 2:02:15,囧,今天股票又跌了，真囧。,,1/1/2008,生活,出自从2008年开始在中文地区的网络社群间，网友通过表情符号来抒发感情，从而创造了“囧”一词来形象体现具体的心情。,https://baike.baidu.com/item/%E5%9B%A7/3290328,eriche,意为郁闷、悲伤、无奈、尴尬、困窘。,,
6/4/2021 2:04:09,银,我是好银。,,1/1/2014,"生活, 方言",出自东北、山东等地方言“人”的发音得来。,https://baike.baidu.com/item/%E9%93%B6/8777572,eriche,卖萌用语，“人”的谐音。,,
6/4/2021 2:07:07,坑爹,坑爹的，一上游戏又被骗了NQ币，被骗了游戏装备。,,1/1/2012,"生活, 游戏",出自在《魔兽世界》巫妖王之怒版本开放之前，因为某个游戏漏洞，在新版本未开放，等级上限还未解锁至80级时，一位玩家通过游戏漏洞超越了游戏的最高等级（70级）并升级到71级而闻名于全游戏，而这位玩家的游戏ID就是“坑爹呢这是”。加上坑爹这词调侃味十足，立马火爆各大论坛。,https://baike.baidu.com/item/%E5%9D%91%E7%88%B9/74277,eriche,字面意思是坑爸爸的行为，让爸爸为难。被广泛使用后，引申为“坑人”、“怎么会这样”等意思，用于形容和原本想法出入很大的情况。常用于讽刺、嘲笑或吐槽不满。,,
6/4/2021 2:10:01,毁三观,地球“素颜照”曝光，形状丑陋网友称“毁三观”。,,6/1/2012,生活,出自2012年下半年热乎出炉的网络新鲜词。,https://baike.baidu.com/item/%E6%AF%81%E4%B8%89%E8%A7%82/3847643,eriche,常用来泛指那些颠覆大多数人一般看法的人、事或物。三观在这里不仅仅指世界观、人生观和价值观，也可以是物质守恒、能量守恒等多数促成人们对传统事物既定认识的理论。,,
6/4/2021 2:12:38,基友,好基友嘛，就是必要的时候可以插两刀，然后转头还能搂搂抱抱，哦不，打打闹闹地去玩耍。,,1/1/2013,"生活, 游戏",出自粤语的读音。在英文中，男同性恋的英文单词为“gay”，和粤语的“基”几乎同音，因此就有了“搞基”、“基友”（粤语中称“基佬”）等中文衍生词。,https://baike.baidu.com/item/%E5%9F%BA%E5%8F%8B/21270#1,eriche,本义为男性同性恋者，在网络上通常调侃关系亲密的男性朋友。,,
6/4/2021 2:16:11,宅男,他是一个典型的宅男，天天不出门在家打游戏。,,1/1/2013,"生活, 游戏, 二次元",出自“御宅族”文化里的的“宅男”，由日文舶来词“御宅”衍生而来，日文汉字写作“御宅”。,https://baike.baidu.com/item/%E5%AE%85%E7%94%B7/5457162,eriche,“宅男”在中文中有两种不同涵义，褒贬因人而异。一般大众所说的“宅男”主要指长期足不出户的人，但又混入了许多不同概念。御宅族群体常将一般大众所说的“宅”称为“伪宅”。,,
6/4/2021 2:18:45,元芳体,“你幸福吗？元芳，你怎么看？”,,1/1/2012,"生活, 电视剧",出自于古装侦探系列电视剧《神探狄仁杰》。剧中的狄公经常征求助手李元芳的意见以“元芳，你怎么看？”为结尾，从而借对话引出对案情的分析。李元芳的标准回答有两个，一个是“大人，我觉得此事有蹊跷”，另一个是“此事背后一定有一个天大的秘密。”,https://baike.baidu.com/item/%E5%85%83%E8%8A%B3%E4%BD%93/4988606,eriche,元芳体是一种语言风格，句式为前面陈述一件事情，在最后加上一句“元芳，你怎么看？” ，以表达质疑、嘲讽或公开征询看法。,,
6/4/2021 2:21:30,太监,我最近一直在追的一部小说太监了。,,1/1/2017,生活,出自关于纪晓岚的民间故事。 有一次，纪晓岚在城门口遇到一个太监。太监拦住纪晓岚，不让他走。让他讲个笑话才可以走。纪晓岚说：“从前有个太监，下面，下面......”太监急忙的问：“下面呢？”纪晓岚说：“下面没有了”。,https://baike.baidu.com/item/%E5%A4%AA%E7%9B%91/2664557,eriche,指的是书未写完结就没了，同“断更” （即指：断根）。,,
6/4/2021 2:25:07,查水表,再被查水表，北京8部门约谈Uber和滴滴。,,1/1/2017,生活,出自电视剧《派出所的故事》中，民警办案时为使人开门而谎称身份用的。,https://baike.baidu.com/item/%E6%9F%A5%E6%B0%B4%E8%A1%A8/4439440,eriche,该词语多用于形容当某人做出或做出一种不符合法律法规或破坏社会稳定又或者是某种言论，最后被领导请去约谈的一种情况。如今，这个词语多用来调侃某人说出某种敏感的信息时或将会受到某种处罚。,,
6/4/2021 2:29:18,土豪,他又换车了，真是个土豪。,,1/1/2013,生活,出自《宋书·殷琰传》译为“有钱人”,https://baike.baidu.com/item/%E5%9C%9F%E8%B1%AA/7485669,eriche,旧指城主、地主、财主、乡村中有钱有势的恶霸。现指地方上有钱有势的家族或个人。,,
6/5/2021 2:24:40,女人只会影响我拔刀的速度,虽然俗话说女人只会影响我拔剑的速度，但凭我的实力，还是可以带你上分的,,12/1/2009,"生活, 学习, 游戏, 直播",出自于多部中国古装剧，其中最早的出处为2009年的《仙剑奇侠传三》，剧中重楼对飞蓬将军（胡歌饰）说道“告诉你，那些无用的东西只会影响你拔剑的速度”。后被引申成各种版本，例如“女人只会影响我拔刀的速度”的版本。,https://www.zhihu.com/question/409391490/answer/1633643108,fahygao,表示女人会影响自己打游戏，常用于调侃。,,
6/5/2021 2:36:04,上分,带你上分的难度不亚于登山。,,8/20/2015,"生活, 游戏, 直播",出自于明代吴承恩的《西游记》，其中第二十七回唐僧说到：“出家人若有桃子吃，就为上分了，快去！” 后来主要在电竞圈走火，用来简单概括打怪升级、排位胜利以提高段位和赛事积分。,https://baike.baidu.com/item/%E4%B8%8A%E5%88%86/143209,fahygao,此词多义，在游戏中指通关或胜利后段位上升的结果与状态；在新闻中用来形容崇洋媚外的新闻稿；在某些场合中还指“啪啪啪”的意思。,,
6/5/2021 2:48:32,伏地魔,我每次玩吃鸡别的不怕，就怕伏地魔突然给我一枪。,,9/4/2017,"游戏, 旧词新义",出自于J·K·Rowling的《哈利·波特》，其中最大反派的反派角色中文译名为“伏地魔”。但在PUBG（吃鸡）游戏中，该词因为本身的形象受人熟知，又可以生动地表示“伏在地上的人“的意思，就此广而告之。,https://baike.baidu.com/item/%E4%BC%8F%E5%9C%B0%E9%AD%94/23519803,fahygao,意指游戏中专门趴在某个草丛中或障碍物繁多的地形中，专门偷袭过路人的玩家。,,
6/5/2021 2:53:16,天天鉴刑,天天鉴宝，天天判刑,（最好有相关视频补充）,5/23/2021,其他,出自直播鉴定节目《天天鉴宝》。因为部分网友所鉴定的文物超出国家规定的买卖年限，且部分文物来历不明，价值高昂，在买卖过程中可能涉及违法，所以专家会用判刑的年数来对宝物的价值进行估值。,https://zhuanlan.zhihu.com/p/375178185,fahygao,意为调侃”天天鉴宝”的鉴赏方式。,,
